Metric,Score,Score (%)
Accuracy,0.9976851851851852,99.77
Precision,0.9859550561797753,98.6
Recall,0.9971590909090909,99.72
F1-Score,0.9915254237288136,99.15
AUC-ROC,0.9999584770698052,100.0
